"# This page contains raw intensities for all 8 slides.
# Column ""Block"": block number of each probe.
# Column ""Column"": column number of each probe.
# Column ""Row"": row number of each probe.
# Column ""Name"": the name of each miRNA/probe.
# Column ""ID"": array ID of the probes, each miRNA always has its unique probe, but some miRNAs may have two different probes.
# Column ""ForeGround"": the foreground intensity of each probe.
# Column ""ForeGround-BackGround"": the signal of the probe after background correction.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,ForeGround,,,,,,,,ForeGround-BackGround,,,,,,,
Block,Column,Row,Name,ID,1A_f,1B_f,2A_f,2B_f,3A_f,3B_f,4A_f,4B_f,1A_f_b,1B_f_b,2A_f_b,2B_f_b,3A_f_b,3B_f_b,4A_f_b,4B_f_b
10,14,2,,29328,53,56,55,52,65,54,44,48,-2,3,8,-6,2,0,-3,5
10,15,2,,11181,60,54,49,61,65,63,44,47,10,1,0,6,-3,7,-8,3
10,1,3,,10952,107,146,97,82,71,160,66,51,51,94,49,28,7,101,21,10
10,2,3,,11004,62,51,50,52,64,60,52,54,6,1,2,1,-9,3,5,12
10,3,3,spike_control_i,14257,59,59,68,61,64,57,87,47,5,12,23,9,-13,4,45,6
10,4,3,,11138,64,58,78,59,62,61,56,57,11,6,33,5,-5,7,13,15
10,5,3,,42802,84,91,80,76,74,87,91,62,27,40,35,17,10,31,45,22
10,6,3,,13177,134,149,111,131,60,401,73,58,69,99,65,70,-4,346,23,17
10,7,3,,19590,96,486,307,617,211,139,103,128,35,433,263,557,146,84,57,85
10,8,3,,27720,57,54,50,62,59,46,82,57,-6,1,3,2,-10,-7,36,15
10,9,3,Empty,0,54,52,48,56,67,51,54,42,-10,1,2,-2,0,-3,7,0
10,10,3,,50179,72,52,71,58,80,62,70,67,10,1,24,0,12,7,21,23
10,11,3,,49493,194,224,99,634,187,188,112,75,130,174,51,578,123,132,66,30
10,12,3,,49744,67,62,62,71,60,65,72,57,7,8,13,14,-6,10,24,12
10,13,3,,49769,57,60,53,73,71,62,66,58,3,7,5,14,7,10,21,13
10,14,3,,49261,59,48,56,60,63,53,58,57,7,-6,6,4,-2,-1,14,12
10,15,3,,49299,66,59,61,75,59,57,73,55,12,4,11,20,-11,0,28,13
10,1,4,,49419,164,199,412,236,99,79,94,96,106,147,366,183,34,22,47,55
10,2,4,cel-miR-66,49444,49,53,56,48,61,54,57,42,-9,2,11,-6,-15,-1,13,1
10,3,4,,50010,56,54,53,52,64,52,55,54,-1,3,10,-3,-14,-3,11,12
10,4,4,spike_control_a,14261,57,47,43,53,55,50,40,52,4,-2,-1,-6,-14,-6,-6,11
10,5,4,,49961,57,51,56,63,55,52,56,49,1,1,12,0,-9,-3,12,9
10,6,4,,50271,64,53,56,68,57,62,82,54,5,1,11,6,-8,10,37,14
10,7,4,,50158,62,59,56,66,58,55,69,47,-1,6,11,4,-5,1,23,6
10,8,4,cel-miR-244,49377,70,58,64,66,56,58,49,64,3,4,20,7,-13,4,0,22
10,9,4,,49533,71,53,57,73,56,49,63,45,3,1,9,12,-10,-5,11,3
10,10,4,,49951,66,64,61,101,74,65,56,53,-3,13,12,42,4,11,10,9
10,11,4,,49181,53,56,55,65,56,50,67,50,-15,6,7,9,-14,-6,20,7
10,12,4,,50103,58,61,57,69,61,58,71,60,-7,10,11,12,-5,2,25,17
10,13,4,,49263,68,62,50,57,59,57,61,45,11,9,4,0,-10,6,15,0
10,14,4,,48639,80,82,74,259,86,73,76,78,25,31,25,203,21,20,29,33
10,15,4,,49967,93,101,80,279,79,77,91,68,37,49,31,223,11,20,45,24
10,1,5,cel-miR-1818,49430,56,59,56,63,62,61,62,59,1,10,11,11,-4,7,16,19
10,2,5,,50075,65,65,58,66,65,54,68,52,9,17,12,10,-10,1,22,9
10,3,5,,50183,65,52,51,68,69,55,81,45,10,0,7,12,-1,0,36,0
10,4,5,,50264,59,67,57,63,62,65,57,46,4,17,14,6,0,11,10,3
10,5,5,spike_control_f,14262,59,54,54,56,59,61,67,50,1,4,7,-2,-4,6,22,9
10,6,5,,48936,63,52,53,71,63,65,67,62,4,1,7,11,-3,11,23,22
10,7,5,,50063,52,49,54,65,64,50,73,56,-14,-5,8,3,-1,-4,24,15
10,8,5,,49253,63,53,46,57,54,56,44,48,-7,1,2,-3,-12,2,-5,6
10,9,5,,49910,55,46,43,53,51,50,56,41,-19,-5,-2,-7,-16,-7,11,0
10,10,5,,49483,56,56,50,50,62,57,47,54,-15,5,4,-9,-6,5,4,13
10,11,5,,49330,61,80,61,420,77,67,78,64,-13,28,15,360,10,9,34,22
10,12,5,,49001,69,74,64,84,88,64,55,51,-6,23,18,24,24,9,8,9
10,13,5,,47888,59,50,48,55,64,57,53,54,-6,-5,2,-1,-2,1,5,12
10,14,5,,49759,58,50,59,55,56,60,78,58,1,-1,10,-6,-12,4,26,14
10,15,5,,49754,72,70,59,66,64,59,77,78,17,19,9,9,-2,3,28,31
10,1,6,,49724,51,53,47,50,59,48,53,48,-4,2,3,-3,-9,-8,10,7
10,2,6,,50127,66,61,57,64,67,56,89,60,10,8,12,11,-10,0,42,18
10,3,6,,50416,61,52,53,52,51,45,65,48,4,0,7,0,-16,-12,19,8
10,4,6,,49674,424,384,336,301,204,331,790,250,366,332,292,245,139,278,745,209
10,5,6,,50019,58,57,55,65,63,58,52,60,1,6,10,5,-1,6,6,18
10,6,6,spike_control_b,14263,51,57,51,58,54,66,59,50,-9,8,4,-4,-12,15,5,8
10,7,6,,48615,47,45,52,48,53,53,58,46,-30,-5,6,-12,-13,-2,12,4
10,8,6,,49713,65,49,46,65,64,51,46,44,-25,-1,-2,4,-2,-6,-2,1
10,9,6,,47661,70,50,51,61,67,56,49,50,-26,-2,5,0,2,1,0,6
10,10,6,,47409,65,77,75,93,64,65,86,62,-17,25,28,32,-5,9,41,19
10,11,6,,30755,94,86,115,82,86,84,94,101,13,32,68,22,20,29,49,59
10,12,6,,49661,61,66,55,58,65,59,47,45,-15,14,9,-3,0,6,0,1
10,13,6,,27833,206,233,93,537,205,232,95,86,141,182,46,480,139,178,48,45
10,14,6,,48731,122,94,70,94,98,89,79,63,64,43,22,33,30,34,31,22
10,15,6,,49812,66,56,55,57,63,53,45,40,13,2,7,-2,-2,-5,-6,-2
10,1,7,,49005,102,65,78,65,88,80,86,62,48,13,33,12,19,24,42,21
10,2,7,,50172,54,58,63,52,63,53,49,43,-3,5,16,-1,-8,-2,4,2
10,3,7,,49294,66,71,63,74,71,58,82,55,12,21,17,20,5,4,35,14
10,4,7,,47167,2786,11063,6406,9739,18928,9199,4957,7283,2731,11013,6363,9683,18860,9146,4912,7240
10,5,7,,18847,58,63,50,68,59,61,61,69,4,12,4,10,-6,9,16,22
10,6,7,,50476,63,62,61,60,60,71,44,51,6,10,15,0,-4,19,-8,9
10,7,7,spike_control_c,14264,57,56,55,62,53,62,75,54,-14,3,10,4,-12,7,30,12
10,8,7,,50243,74,82,76,134,70,58,64,63,-18,33,29,78,5,5,21,21
10,9,7,,49718,64,56,53,66,59,58,80,55,-41,4,6,8,-5,7,36,12
10,10,7,,50032,84,59,54,64,57,60,77,52,-24,9,7,4,-6,7,27,10
10,11,7,,50475,114,107,110,501,110,77,101,70,6,57,63,443,46,23,53,28
10,12,7,,49820,81,60,59,74,57,51,62,54,-2,7,14,11,-8,-2,19,12
10,13,7,,49813,69,54,57,66,62,63,69,50,1,-1,8,6,-3,9,24,8
10,14,7,,49460,64,50,54,53,64,51,53,45,6,-3,6,-5,0,-4,6,1
10,15,7,,49681,51,47,44,54,63,52,66,44,-2,-6,-4,-3,-2,-5,14,2
10,1,8,,49311,46,52,45,50,52,53,51,58,-9,1,-2,-2,-23,-3,7,16
10,2,8,,50159,67,52,50,55,60,59,60,51,10,-2,6,2,-8,4,13,6
10,3,8,,49786,53,47,51,55,56,50,67,50,-4,-5,6,1,-11,-3,20,9
10,4,8,,50143,67,57,52,55,58,51,86,46,12,7,6,1,-11,-3,43,3
10,5,8,,48908,92,111,94,88,112,121,87,74,36,61,49,29,43,69,42,29
10,6,8,,50221,80,102,97,333,199,102,95,69,23,53,51,273,134,50,46,29
10,7,8,,27314,126,107,92,199,118,119,92,80,64,53,46,142,49,66,42,38
10,8,8,spike_control_j,10899,61,62,62,48,53,61,54,51,-14,12,16,-10,-13,7,7,10
10,9,8,,47505,72,51,53,65,54,54,60,54,-27,-1,6,4,-8,2,12,12
10,10,8,,49576,74,59,58,74,60,55,73,58,-55,6,12,14,-2,2,23,16
10,11,8,,49541,76,57,56,61,59,56,66,48,-78,4,8,3,-7,2,20,8
10,12,8,,47313,75,63,59,61,68,62,64,52,-30,10,12,0,3,7,21,9
10,13,8,,49096,54,62,55,61,61,54,90,49,-20,8,8,2,-4,2,44,7
10,14,8,,49804,67,52,57,61,57,51,78,59,8,-2,10,5,-8,-2,30,15
10,15,8,,48972,231,296,250,259,218,245,309,164,175,242,202,203,152,190,259,122
10,1,9,,50332,54,53,47,57,71,54,58,45,0,3,2,8,-4,-3,15,3
10,2,9,,49654,74,60,57,72,59,56,78,54,17,11,12,21,-10,-1,33,13
10,3,9,,47547,49,47,46,51,62,61,44,47,-6,-3,1,-5,-5,6,-4,8
10,4,9,,47594,53,54,46,54,61,54,48,46,-2,4,-1,-3,-7,-1,1,5
10,5,9,cel-miR-40,50288,50,56,48,58,63,50,47,46,-8,5,-1,-1,-2,-4,1,4
10,6,9,,47208,125,279,186,123,124,408,93,82,69,228,139,67,60,354,48,41
10,7,9,cel-miR-252,48951,58,60,47,55,69,57,67,51,-4,7,1,-2,5,0,20,11
10,8,9,,49360,74,83,65,106,91,79,72,60,-1,34,18,51,28,27,29,20
10,9,9,spike_control_d,10904,56,56,47,58,63,54,49,47,-45,6,0,-2,-3,2,1,3
10,10,9,,49187,74,114,106,107,84,69,73,77,-55,61,60,44,17,12,26,29
10,11,9,,49706,85,56,61,61,74,58,58,50,-64,6,13,-2,13,3,9,7
10,12,9,,50236,61,47,52,58,61,60,48,40,-45,-4,4,-2,-4,5,1,-2
10,13,9,,49538,280,378,159,341,371,302,139,75,206,324,113,283,307,249,91,32
10,14,9,,49249,62,61,49,56,61,53,66,59,2,8,4,-2,-5,0,17,17
10,15,9,,48638,57,55,56,59,61,56,52,46,3,0,9,2,-6,2,5,3
10,1,10,,49998,65,58,45,62,65,52,56,45,9,7,-2,8,-1,-3,10,3
10,2,10,,42716,60,51,55,61,63,49,90,64,3,0,10,6,0,-3,48,23
10,3,10,,49273,79,79,64,69,108,67,71,53,22,27,19,12,40,11,24,11
10,4,10,,47737,3816,11404,6137,9424,18083,9423,9300,9175,3759,11351,6091,9366,18017,9368,9255,9134
10,5,10,,47981,63,58,52,62,66,53,61,55,5,8,6,5,3,1,13,12
10,6,10,,49968,59,51,50,60,64,52,64,44,0,2,4,2,-1,-1,20,0
10,7,10,,49640,68,57,49,56,59,53,74,55,10,5,0,1,-6,0,30,13
10,8,10,,50461,61,52,54,64,58,60,53,47,-4,1,7,6,-5,7,6,3
10,9,10,cel-miR-237,49094,100,129,193,125,112,96,91,89,23,78,146,64,44,43,43,43
10,10,10,spike_control_g,10905,55,48,51,49,51,53,52,47,-38,-3,3,-16,-19,-2,8,1
10,11,10,,50121,66,54,54,59,57,49,57,49,-38,3,6,-1,-8,-5,9,3
10,12,10,cel-miR-48,50055,64,65,56,69,55,53,57,53,-17,11,8,9,-8,-6,8,12
10,13,10,,48943,110,71,69,72,91,78,69,56,39,17,24,14,27,22,20,15
10,14,10,,50001,62,60,57,65,65,56,72,54,-1,6,8,5,-3,1,21,13
10,15,10,,49127,63,65,59,60,58,68,66,46,3,11,11,2,-6,13,16,5
10,1,11,,49890,55,46,45,53,57,53,52,45,-1,-6,1,-1,-8,-2,9,3
10,2,11,cel-miR-270,50385,65,54,51,50,62,46,63,49,9,1,5,-5,-4,-6,19,9
10,3,11,,49466,54,55,51,56,62,47,67,41,-1,3,6,0,-3,-9,21,0
10,4,11,,50217,74,72,65,73,78,64,71,53,19,22,21,14,13,12,24,11
10,5,11,,47187,56,57,51,60,58,58,63,47,-1,4,6,0,-8,5,13,4
10,6,11,,47471,54,66,52,74,61,58,57,47,-7,14,6,13,-2,4,15,4
10,7,11,,49140,56,58,55,57,88,69,52,55,-2,7,9,-1,26,14,7,11
10,8,11,,47506,55,56,50,63,60,62,66,55,-1,4,2,2,-10,8,20,11
10,9,11,,50392,72,57,62,68,71,51,64,57,9,3,16,6,-3,-1,18,14
10,10,11,,50451,56,51,51,59,73,52,67,44,-16,-3,6,-3,-2,-2,22,1
10,11,11,spike_control_e,10906,78,55,59,74,67,58,79,57,-9,3,12,16,0,5,29,15
10,12,11,,48926,88,113,90,116,139,90,79,69,1,61,43,56,74,37,34,26
10,13,11,cel-miR-1829b,49474,66,54,56,65,56,57,85,70,-6,1,10,6,-10,3,39,30
10,14,11,,48996,59,57,61,56,65,65,53,44,-10,4,13,-9,-1,12,4,3
10,15,11,,49374,56,49,47,54,72,52,53,46,-5,-5,0,-7,8,-2,5,5
10,1,12,cel-miR-795,50083,125,60,59,55,82,78,56,46,71,10,13,1,15,20,13,3
10,2,12,,50258,168,188,137,189,143,93,133,81,113,138,90,135,76,39,86,40
10,3,12,,49030,55,49,51,63,55,53,58,49,-4,-3,5,5,-12,-2,16,8
10,4,12,,49408,56,54,52,54,63,56,66,42,-2,4,6,-4,1,2,18,0
10,5,12,,48916,60,58,53,63,55,58,77,50,3,5,6,5,-11,3,28,9
10,6,12,,49712,55,51,40,65,58,55,70,43,-6,0,-6,5,-7,-2,27,-2
10,7,12,,49926,67,53,65,60,80,78,67,58,5,3,21,1,17,25,22,17
10,8,12,,47955,56,50,52,51,64,48,49,53,-2,-1,7,-8,-11,-6,2,12
10,9,12,,50145,80,122,64,101,111,105,70,55,21,69,18,40,31,48,24,11
10,10,12,,49913,64,72,53,54,68,69,47,45,-1,20,7,-7,-13,15,3,1
10,11,12,,49854,65,63,57,68,63,49,67,48,-12,9,9,6,-5,-7,18,6
10,12,12,spike_control_h,10907,59,50,57,67,69,58,77,55,-13,0,10,7,2,3,27,14
10,13,12,,49963,78,114,164,86,91,81,108,78,11,64,114,28,25,27,59,37
10,14,12,,49858,68,73,58,61,63,58,69,49,-14,19,10,-1,-5,5,19,7
10,15,12,,49296,80,157,69,280,242,78,75,61,16,104,22,222,174,21,27,19
10,1,13,cel-miR-41,49356,54,52,45,46,58,50,55,50,-3,1,0,-8,-8,-4,11,10
10,2,13,,50197,44,51,47,55,55,49,60,41,-11,2,1,1,-10,-6,14,2
10,3,13,,49231,48,47,47,50,54,47,75,43,-6,-3,1,-9,-10,-10,30,2
10,4,13,,50094,57,57,52,52,54,49,64,46,2,7,4,-4,-9,-5,19,4
10,5,13,,49788,71,59,64,76,63,70,91,59,15,9,17,18,-1,14,40,19
10,6,13,,28488,62,60,58,62,62,59,73,62,2,8,12,1,-5,2,29,18
10,7,13,,49823,55,54,52,76,58,55,55,47,-4,4,7,16,-2,4,11,5
10,8,13,,49077,56,69,56,56,67,58,52,50,-3,16,9,-4,-1,4,10,8
10,9,13,,27847,60,53,54,59,64,58,82,55,2,1,6,-4,-14,3,36,12
10,10,13,,49785,69,59,60,80,66,59,73,44,10,7,15,16,-9,6,27,2
10,11,13,,50106,57,57,48,77,62,55,62,51,-1,4,1,14,-6,3,13,7
10,12,13,cel-miR-1832,49184,67,85,100,101,99,80,76,72,7,34,51,38,35,23,29,29
10,13,13,cel-miR-58,50367,71,54,54,57,53,80,73,51,6,2,6,-5,-11,23,22,9
10,14,13,,50137,339,112,79,113,88,83,178,67,242,58,32,55,21,24,128,23
10,15,13,cel-miR-84,49477,508,218,119,130,238,193,124,73,420,165,72,73,171,136,79,29
10,1,14,Hy3,13138,613,469,792,541,1257,379,1500,1313,555,419,745,485,1186,324,1454,1271
10,2,14,,50285,65,50,51,51,59,61,49,52,8,0,5,-3,-7,6,6,12
10,3,14,,50267,66,60,51,58,67,57,54,44,11,8,5,0,2,-1,6,2
10,4,14,,49107,65,63,55,74,63,113,98,63,8,12,9,18,-6,56,46,21
10,5,14,,49964,61,54,53,58,60,51,64,50,3,4,6,1,-6,-1,16,6
10,6,14,,49207,50,58,51,52,56,51,57,41,-10,6,6,-9,-12,-3,13,-2
10,7,14,,49765,57,56,42,54,53,53,63,57,-2,4,-5,-6,-8,-1,21,13
10,8,14,,48647,44,49,50,51,54,53,57,44,-15,-6,4,-11,-14,1,15,1
10,9,14,,49658,70,151,76,71,67,155,82,49,9,102,29,5,-1,103,33,6
10,10,14,,50302,56,46,51,52,58,52,57,47,-8,-5,4,-13,-8,-4,13,4
10,11,14,,49637,54,50,48,59,66,54,46,45,-5,-3,1,-4,4,-1,-1,1
10,12,14,,50175,53,49,47,57,60,50,62,50,-7,-1,-1,-5,-4,-5,16,6
10,13,14,Empty,0,63,55,47,58,68,57,43,42,-7,3,1,-6,-1,0,-3,-1
10,14,14,Hy3,13138,395,481,543,645,487,225,587,438,297,427,496,580,420,164,535,394
10,15,14,Hy3,13138,2795,333,492,509,505,250,945,512,2703,280,444,451,438,192,898,469
11,1,1,Hy3,13138,348,244,404,414,613,293,292,234,293,192,356,363,535,241,245,186
11,2,1,,42979,213,218,132,288,146,78,79,76,160,167,86,238,69,25,33,33
11,3,1,,11043,52,55,54,60,65,49,50,71,0,7,8,12,-7,-4,3,26
11,4,1,,11040,47,51,52,52,75,52,48,53,-4,2,7,3,1,-5,1,10
11,5,1,,42592,63,61,64,64,62,56,80,65,10,11,18,15,-8,0,36,21
11,6,1,,19588,61,48,47,50,56,53,65,62,9,-1,2,2,-11,-1,24,18
11,7,1,,10976,50,51,54,61,57,53,65,62,-3,1,10,11,-6,-1,20,17
11,8,1,,29153,58,46,44,57,66,52,49,46,6,-1,-2,8,1,-1,2,2
11,9,1,,17272,122,121,120,86,103,82,81,98,72,75,73,39,40,32,36,52
11,10,1,,42681,62,53,57,54,59,44,70,62,11,5,10,10,1,-9,27,18
11,11,1,,11024,87,75,99,70,64,73,98,119,35,27,52,23,3,20,55,76
11,12,1,,11044,67,54,53,56,63,67,81,62,16,5,7,11,3,14,37,17
11,13,1,,42713,126,94,201,91,87,105,108,252,74,45,157,45,28,51,61,205
11,14,1,,42633,71,60,56,47,60,50,41,54,19,13,12,1,1,-4,-7,8
11,15,1,Hy3,13138,184,170,220,286,324,196,579,159,132,122,176,239,261,141,533,111
11,1,2,,10942,63,65,59,62,70,51,98,50,8,12,14,11,-12,-5,53,8
11,2,2,,11185,61,51,56,44,66,50,63,53,6,-1,9,-7,-7,-5,14,10
11,3,2,,11134,64,50,64,66,73,59,72,71,11,-2,16,19,1,5,28,28
11,4,2,,17498,56,67,57,74,115,67,63,61,2,15,12,27,38,11,18,18
11,5,2,,42724,67,132,97,89,192,95,79,67,13,83,51,42,125,41,31,23
11,6,2,,46406,52,55,54,58,60,45,72,60,0,7,8,8,-4,-9,31,15
11,7,2,,42829,127,263,143,212,252,195,180,71,72,213,99,165,188,141,137,28
11,8,2,,42896,54,50,50,46,62,56,62,58,0,1,5,0,-3,4,21,16
11,9,2,,14272,57,52,48,52,55,47,61,50,5,7,4,5,-6,-3,17,7
11,10,2,,42603,50,48,50,44,59,47,58,53,-2,2,6,-2,-2,-3,14,11
11,11,2,,42806,95,86,81,87,105,58,81,61,43,39,34,41,41,8,37,18
11,12,2,,42900,68,65,63,55,59,61,71,72,20,18,16,10,-2,7,29,30
11,13,2,,10987,56,51,59,53,58,54,59,69,5,3,13,6,-1,1,16,24
11,14,2,,11041,45,47,48,50,51,55,46,56,-7,0,3,3,-5,4,4,10
11,15,2,,17280,56,52,57,46,50,54,75,59,2,4,13,2,-8,0,33,12
11,1,3,,42470,61,54,54,50,65,55,72,60,8,3,8,-2,-14,-3,26,18
11,2,3,,17652,62,48,55,51,54,55,64,56,5,-4,6,0,-20,1,19,13
11,3,3,spike_control_i,14257,60,68,57,66,65,54,52,60,7,17,9,16,-3,-1,6,18
11,4,3,,11007,69,109,66,269,106,71,58,68,16,57,21,222,32,15,12,25
11,5,3,,17336,58,60,56,68,62,60,82,54,4,12,11,17,-5,7,33,11
11,6,3,,-1,58,94,69,85,76,62,78,76,8,47,24,34,14,10,35,32
11,7,3,,17605,54,45,52,55,60,45,63,52,1,-4,7,8,-4,-9,21,9
11,8,3,,29529,48,52,44,48,53,55,63,54,-4,3,1,-1,-8,0,22,11
11,9,3,Empty,0,53,51,48,50,57,54,39,43,1,4,5,4,-5,3,-3,2
11,10,3,,49191,55,53,59,49,54,53,62,54,3,7,15,2,-6,0,21,11
11,11,3,,48207,52,45,46,40,57,54,60,55,-1,-2,2,-7,-2,3,15,12
11,12,3,,49778,52,48,50,49,51,59,56,54,2,1,4,5,-7,6,14,11
11,13,3,,50395,53,51,49,47,55,55,65,49,1,5,4,2,-2,2,22,4
11,14,3,cel-miR-232,49604,52,47,48,45,55,49,47,55,0,0,1,1,-1,-2,0,7
11,15,3,,49129,72,76,117,56,70,63,72,113,20,29,71,13,12,9,31,69
11,1,4,,49306,61,56,60,63,72,54,64,43,9,6,11,12,-7,-2,18,1
11,2,4,,49479,58,51,53,56,67,57,68,53,5,-1,4,4,-10,2,21,11
11,3,4,,49073,347,782,561,749,647,422,1638,255,295,732,513,698,571,367,1592,212
11,4,4,spike_control_a,14261,55,47,48,49,52,47,72,52,2,-3,2,1,-19,-5,25,8
11,5,4,cel-miR-61,49208,45,44,49,50,59,43,63,46,-8,-5,3,2,-7,-9,19,1
11,6,4,,49848,53,60,56,67,75,50,70,52,1,12,10,20,12,-1,23,9
11,7,4,,47271,92,93,62,94,115,68,75,64,40,44,17,47,50,18,29,21
11,8,4,,50078,50,53,50,47,49,51,54,45,-2,5,6,2,-12,-4,12,2
11,9,4,,49144,72,61,74,49,60,53,62,74,21,15,29,4,-2,1,15,32
11,10,4,,48409,59,66,56,63,64,60,81,55,9,19,14,18,7,5,37,12
11,11,4,,49195,56,46,51,51,52,49,60,47,5,-1,6,4,-8,-2,14,5
11,12,4,,49901,46,53,51,42,61,54,52,47,-6,7,6,-4,1,0,7,3
11,13,4,,49118,353,846,271,683,1250,504,386,171,302,797,225,637,1186,451,341,127
11,14,4,cel-miR-54,49670,54,75,53,51,52,47,77,65,-1,27,7,8,-9,-4,32,22
11,15,4,,49172,62,58,74,47,57,56,69,74,10,11,27,2,-2,2,29,29
11,1,5,,49776,57,56,46,51,57,48,82,58,3,7,-3,-2,-23,-10,37,16
11,2,5,,49602,52,59,56,65,65,58,82,60,-2,7,8,13,-17,5,37,18
11,3,5,,49897,100,102,79,233,188,60,74,56,45,52,31,184,106,8,29,13
11,4,5,,49983,59,55,54,49,61,55,56,45,4,6,8,-1,-9,4,12,2
11,5,5,spike_control_f,14262,59,59,58,60,62,58,68,73,6,12,11,9,-2,5,25,31
11,6,5,,50111,61,55,56,59,62,63,85,56,10,7,12,10,-2,11,39,13
11,7,5,,50216,57,57,54,53,62,54,54,51,3,7,10,7,0,2,10,8
11,8,5,,49780,53,49,49,49,57,52,58,62,0,0,6,2,-4,-3,17,20
11,9,5,,47855,50,55,55,43,50,57,82,52,-1,8,11,-4,-11,1,38,10
11,10,5,,48831,47,45,47,45,56,53,63,48,-1,-2,4,1,-3,-1,18,7
11,11,5,cel-miR-259,49093,48,49,53,46,67,48,65,46,0,0,8,1,8,-8,24,4
11,12,5,,49948,62,50,49,53,62,56,60,50,10,4,4,7,2,-1,17,4
11,13,5,,48746,61,102,48,44,53,54,52,46,12,51,3,-4,-7,1,9,0
11,14,5,,50323,105,154,83,145,257,96,149,66,50,107,37,102,200,42,106,23
11,15,5,,48252,52,46,50,50,51,47,53,54,1,-1,0,6,-6,-6,11,9
11,1,6,,49735,55,62,62,61,64,52,73,61,1,10,15,11,-12,-2,28,19
11,2,6,,48811,64,73,55,66,97,59,55,60,12,19,9,17,19,5,8,17
11,3,6,,49014,115,49,51,61,65,54,68,52,63,-4,3,10,-12,-2,22,10
11,4,6,,50104,49,50,54,52,59,51,57,50,-4,-1,9,1,-14,-4,14,6
11,5,6,,48971,50,55,57,52,55,55,75,49,-5,5,11,2,-9,0,32,4
11,6,6,spike_control_b,14263,53,98,53,47,61,58,77,54,-1,48,8,-2,-2,7,31,12
11,7,6,,49023,57,67,48,52,85,72,78,70,4,20,4,6,23,21,33,31
11,8,6,,49521,64,127,62,109,117,97,86,53,11,79,19,62,55,43,44,12
11,9,6,,49720,74,71,54,74,103,75,54,51,24,24,11,27,40,25,9,9
11,10,6,,49512,57,51,56,54,49,60,68,54,5,4,12,6,-14,7,22,11
11,11,6,,47849,56,57,52,48,56,56,65,59,6,11,8,1,-8,0,22,16
11,12,6,,49977,60,55,46,69,67,66,59,53,10,6,4,24,3,12,16,10
11,13,6,,50011,51,57,47,51,58,54,55,57,-2,8,3,7,-3,1,9,12
11,14,6,,49597,67,62,74,58,56,56,84,100,15,14,29,14,-6,2,40,58
11,15,6,,49117,49,40,53,46,60,46,66,53,-2,-8,7,1,-4,-8,23,8
11,1,7,,50189,66,60,57,59,72,56,61,51,11,6,10,10,0,5,9,10
11,2,7,,47548,57,52,51,52,79,50,61,54,4,-2,4,4,-1,-7,13,14
11,3,7,,49709,59,45,53,52,65,57,61,57,5,-7,7,2,-13,-1,14,14
11,4,7,,48181,65,57,49,55,68,58,56,64,10,9,3,6,-7,4,12,20
11,5,7,,29001,164,296,124,248,285,259,144,63,111,248,79,198,219,204,101,21
11,6,7,,49973,71,54,62,57,72,66,79,65,18,4,17,9,9,13,33,20
11,7,7,spike_control_c,14264,49,47,48,51,53,53,41,53,-2,-3,3,3,-10,3,-7,11
11,8,7,cel-miR-261,50192,54,53,45,52,63,44,64,51,1,6,1,5,1,-7,22,7
11,9,7,,49051,72,76,75,61,67,61,124,70,18,27,30,15,3,11,81,26
11,10,7,,48199,58,53,48,57,46,49,68,57,8,3,3,11,-15,-6,25,15
11,11,7,,49406,55,44,48,49,52,46,75,52,4,-5,4,4,-9,-7,30,10
11,12,7,,49949,51,51,51,55,53,54,58,49,-1,5,8,9,-8,-1,11,8
11,13,7,,47095,100,76,75,67,73,79,113,86,49,30,32,18,13,25,66,42
11,14,7,,49126,50,50,53,47,46,50,70,62,-2,3,9,2,-16,-4,27,19
11,15,7,,25593,182,183,84,149,197,172,136,74,131,136,41,102,136,117,94,32
11,1,8,,49045,60,65,51,69,74,60,70,53,6,11,5,18,6,7,23,11
11,2,8,,49057,96,71,65,57,68,59,61,56,44,18,19,8,-7,4,16,11
11,3,8,,48930,52,50,53,46,57,53,63,64,-1,-1,7,-7,-20,1,19,19
11,4,8,,50204,54,58,62,61,85,62,82,49,1,9,15,11,10,9,36,6
11,5,8,,47936,54,63,55,55,59,57,55,50,1,13,11,5,-4,4,9,8
11,6,8,,49232,49,55,47,50,52,48,59,46,-2,5,1,2,-12,-8,12,1
11,7,8,,48793,59,51,42,44,60,57,66,45,9,2,-6,-4,-6,6,16,4
11,8,8,spike_control_j,10899,52,52,51,57,55,55,80,55,0,5,8,12,-5,6,35,10
11,9,8,,49016,62,50,43,44,60,51,64,47,6,3,-2,-4,1,2,19,6
11,10,8,,49672,46,47,42,47,56,53,41,48,-5,-2,-3,-1,-4,0,-7,5
11,11,8,,49313,54,55,51,51,64,55,46,52,3,6,5,6,7,0,0,9
11,12,8,,50401,54,46,47,52,62,47,45,49,2,0,2,6,2,-8,-1,2
11,13,8,,49752,81,105,93,74,181,112,83,58,29,57,48,27,121,59,38,14
11,14,8,,50144,65,79,61,72,101,72,83,62,16,31,17,27,41,19,35,20
11,15,8,,49772,52,52,46,56,53,53,80,58,-2,4,3,10,-6,0,32,15
11,1,9,,48163,60,62,57,52,73,56,55,56,6,9,11,0,1,2,9,12
